Keypress frequency for each key over the lifetime of the BrightEditor project in C:\Users\brigh\Documents\zkyProjects\bgBrightEditorTools as of 20:49:32 , 10/10/2025

Key Name     Amount of times it was pressed in BrightEditor

Backspace     501
Caps Lock     23
Ctrl     931
Down     778
End     35
Enter     231
Esc     14
F1     4
F2     11
F3     3
F4     8
F5     174
Home     25
Insert     3
Left     671
Left Windows     119
Page Down     169
Page Up     21
Right     509
Right Shift     4
Shift     287
Space     468
Tab     256
Up     1,171

'     15
,     278
-     35
.     243
/     423
0     165
1     93
2     170
3     60
4     18
5     43
6     22
7     26
8     7
9     25
;     572
=     6
A     642
B     105
C     176
D     621
E     844
F     398
G     391
H     529
I     799
J     74
K     133
L     525
M     126
N     661
O     536
P     212
Q     26
R     406
S     174
T     135
U     163
V     118
W     251
X     213
Y     163
Z     164
[     104
\     61
]     96
`     13
